Context; Relation;Maximum_cardinality;Likehood
null;http://data.bnf.fr/ontology/bnf-onto/coordonneesLambert;1;0.9921890988307897
null;http://data.bnf.fr/ontology/bnf-onto/ismn;1;0.9898101864408861
null;http://www.openarchives.org/ore/terms/isAggregatedBy;1;0.9738865788004333
null;http://rdvocab.info/ElementsGr2/periodOfActivityOfThePerson;1;0.9858523792987992
null;http://data.bnf.fr/vocabulary/roles/r3100;1;0.9830811120815206
null;http://data.bnf.fr/ontology/bnf-onto/isan;1;0.9806520489108852
null;http://schema.org/sameAs;1;0.9796240478664056
null;http://data.bnf.fr/ontology/bnf-onto/date;1;0.9747505278308463
null;http://data.bnf.fr/vocabulary/roles/r900;1;0.9738197399219731
null;http://www.w3.org/2004/02/skos/core#inScheme;1;0.9729332785311865
null;http://data.bnf.fr/vocabulary/roles/r910;1;0.9720286960004978
null;http://id.loc.gov/vocabulary/relators/rth;1;0.9720286960004978
